City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Byron Bay,AU,-28.65,153.6167,60.71,79,84,13.02,broken clouds
118,Aswan,EG,24.0934,32.907,87.35,16,18,10.42,few clouds
119,Lata,PT,40.1629,-8.3327,59.68,82,0,1.43,clear sky
120,Bandarbeyla,SO,9.4942,50.8122,76.03,82,25,29.91,scattered clouds
121,Esperance,AU,-33.8667,121.9,49.84,66,100,22.39,light rain
122,Port Moresby,PG,-9.4431,147.1797,78.22,89,75,11.5,broken clouds
123,Palmer,US,42.1584,-72.3287,92.21,51,1,1.01,clear sky
124,Cherskiy,RU,68.75,161.3,60.66,42,14,2.33,few clouds
125,Upernavik,GL,72.7868,-56.1549,42.94,96,100,4.52,overcast clouds
126,Faanui,PF,-16.4833,-151.75,79.45,73,10,13.58,clear sky
127,Smithers,CA,54.7804,-127.1743,71.92,53,75,10.36,broken clouds
128,Tomiya,JP,38.3931,140.8861,73.98,74,85,0.81,overcast clouds
129,Busselton,AU,-33.65,115.3333,50.77,69,86,10.09,overcast clouds
130,Port Alfred,ZA,-33.5906,26.891,53.19,83,80,5.99,broken clouds
131,Kahului,US,20.8947,-156.47,83.97,77,5,14.0,clear sky
132,Hilo,US,19.7297,-155.09,85.28,92,100,8.05,overcast clouds
133,Kodiak,US,57.79,-152.4072,49.59,97,100,12.06,moderate rain
134,Lompoc,US,34.6391,-120.4579,71.85,73,0,24.0,clear sky
135,Bethel,US,41.3712,-73.414,90.36,53,24,3.27,few clouds
136,Thompson,CA,55.7435,-97.8558,64.56,52,75,8.05,broken clouds
137,Koulamoutou,GA,-1.1303,12.4736,74.61,76,95,0.98,overcast clouds
138,Nago,JP,26.5881,127.9761,84.29,84,28,5.86,scattered clouds
139,Zhigansk,RU,66.7697,123.3711,57.29,74,45,9.08,scattered clouds
140,Matale,LK,7.4721,80.6234,70.27,95,83,4.74,broken clouds
141,Ambon,ID,-3.6954,128.1814,76.23,16,75,8.05,broken clouds
142,Hit,IQ,33.6416,42.8251,89.58,18,0,11.23,clear sky
143,Kirakira,SB,-10.4544,161.9205,84.11,70,44,5.55,scattered clouds
144,Borogontsy,RU,62.6683,131.1683,70.41,61,3,4.25,clear sky
145,Ileza,RU,61.0533,43.9002,60.98,86,18,5.41,few clouds
146,Korla,CN,41.7597,86.1469,83.64,17,0,4.94,clear sky
147,Bonavista,CA,48.6499,-53.1147,65.01,90,52,5.23,broken clouds
148,Port Elizabeth,ZA,-33.918,25.5701,53.89,86,40,13.8,scattered clouds
149,Yershov,RU,51.3513,48.2766,63.55,84,96,7.05,light rain
150,Knysna,ZA,-34.0363,23.0471,52.18,78,80,8.21,light rain
151,Kilindoni,TZ,-7.9139,39.6668,74.89,77,9,13.58,clear sky
152,Rocha,UY,-34.4833,-54.3333,61.32,96,97,6.76,overcast clouds
153,Ausa,ES,41.9271,2.2497,69.22,92,0,0.72,clear sky
154,Coihaique,CL,-45.5752,-72.0662,28.33,98,100,3.15,light snow
155,Hamilton,US,39.1834,-84.5333,89.1,52,29,7.76,scattered clouds
156,Marzuq,YE,14.4,46.4667,78.03,63,26,9.1,scattered clouds
157,Xique-Xique,BR,-10.8218,-42.7263,76.66,45,34,7.99,scattered clouds
158,Qaanaaq,GL,77.484,-69.3632,37.35,99,100,0.58,overcast clouds
159,Padang,ID,-0.9492,100.3543,75.25,85,100,4.34,overcast clouds
160,Cidreira,BR,-30.1811,-50.2056,62.33,97,57,9.78,broken clouds
161,Airai,TL,-8.9266,125.4092,54.99,75,65,2.42,broken clouds
162,Port Lincoln,AU,-34.7333,135.8667,55.67,72,75,15.7,moderate rain
163,Shenjiamen,CN,29.9576,122.298,77.77,90,31,6.62,scattered clouds
164,Vardo,NO,70.3705,31.1107,49.98,93,100,9.22,overcast clouds
165,Meulaboh,ID,4.1363,96.1285,75.2,91,100,5.06,overcast clouds
166,Talavera De La Reina,ES,39.9635,-4.8308,78.66,14,0,4.97,clear sky
167,Mahebourg,MU,-20.4081,57.7,69.82,73,59,15.32,broken clouds
168,Mirnyy,RU,62.5353,113.9611,67.44,89,58,11.72,broken clouds
169,Chapais,CA,49.7834,-74.8492,62.38,73,76,6.44,broken clouds
170,Namatanai,PG,-3.6667,152.4333,83.7,66,8,4.76,clear sky
171,Katsuura,JP,35.1333,140.3,80.2,79,99,12.64,overcast clouds
172,Balboa,CO,2.0396,-77.2168,63.27,92,76,2.59,light rain
173,Mar Del Plata,AR,-38.0023,-57.5575,54.09,58,100,0.0,mist
174,Avarua,CK,-21.2078,-159.775,75.25,64,20,10.36,few clouds
175,Evanston,US,42.0411,-87.6901,85.19,63,4,3.0,clear sky
176,Nantucket,US,41.2835,-70.0995,87.91,48,22,16.35,few clouds
177,Viedma,AR,-40.8135,-62.9967,48.94,69,100,7.18,overcast clouds
178,Hami,CN,42.8,93.45,84.29,21,49,7.92,scattered clouds
179,Russkaya Polyana,UA,49.417,31.9201,64.8,77,0,1.39,clear sky
180,Nanortalik,GL,60.1432,-45.2371,44.02,91,96,10.78,overcast clouds
181,Cayenne,GF,4.9333,-52.3333,83.08,1,0,3.44,clear sky
182,Ito,JP,34.9667,139.0833,79.43,69,99,4.14,overcast clouds
183,Maldonado,UY,-34.6667,-54.9167,60.22,93,97,5.66,overcast clouds
184,Hovd,MN,48.0056,91.6419,58.77,49,4,1.7,clear sky
185,Villa Union,MX,23.2,-106.2333,91.02,76,24,8.41,few clouds
186,Lumut,MY,4.2323,100.6298,78.26,84,100,4.92,overcast clouds
187,Mandal,IN,25.45,74.5667,77.76,87,100,4.9,overcast clouds
188,Victoria,HK,22.2855,114.1577,87.85,81,31,4.0,scattered clouds
189,Mishkino,RU,55.3389,63.9175,57.38,80,78,4.81,broken clouds
190,San Patricio,US,28.017,-97.5169,95.18,53,38,18.37,scattered clouds
191,Vaini,TO,-21.2,-175.2,75.36,73,20,11.5,few clouds
192,Saint-Francois,FR,46.4154,3.9054,63.84,82,0,2.3,clear sky
193,Narsaq,GL,60.9167,-46.05,46.72,83,99,3.91,overcast clouds
194,Batagay-Alyta,RU,67.8006,130.4114,58.93,79,79,6.38,broken clouds
195,Roald,NO,62.5833,6.1333,55.42,83,100,1.79,overcast clouds
196,Georgetown,MY,5.4112,100.3354,77.95,96,40,5.75,scattered clouds
197,Leningradskiy,RU,69.3833,178.4167,34.68,94,100,6.73,overcast clouds
198,Meiringen,CH,46.7268,8.184,69.66,94,75,6.91,broken clouds
199,Shakawe,BW,-18.3667,21.85,59.04,46,39,4.92,scattered clouds
200,Fougamou,GA,-1.2154,10.5838,71.15,79,77,2.46,broken clouds
201,Vilyuysk,RU,63.7553,121.6247,69.66,68,2,5.82,clear sky
202,Brikama,GM,13.2714,-16.6494,77.04,100,75,2.3,broken clouds
203,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.88,43,99,0.74,overcast clouds
204,Saldanha,ZA,-33.0117,17.9442,50.05,68,0,20.96,clear sky
205,Maltahohe,NA,-24.8333,16.9833,55.22,36,29,12.73,scattered clouds
206,Saint Anthony,US,45.0205,-93.218,77.11,60,100,3.96,overcast clouds
207,Maamba,ZM,-17.3667,27.15,61.68,49,4,2.68,clear sky
208,Nemuro,JP,43.3236,145.575,62.15,92,90,7.23,overcast clouds
209,Castellarano,IT,44.5131,10.7329,84.6,60,91,6.64,overcast clouds
210,Luanda,AO,-8.8368,13.2343,69.8,88,75,3.44,broken clouds
211,Sao Filipe,CV,14.8961,-24.4956,77.67,85,100,5.01,light rain
212,Arkhipo-Osipovka,RU,44.37,38.52,67.21,68,29,2.21,scattered clouds
213,Phan Thiet,VN,10.9333,108.1,75.49,90,78,3.62,broken clouds
214,Castro,BR,-24.7911,-50.0119,59.5,67,100,2.71,overcast clouds
215,Vanimo,PG,-2.6741,141.3028,80.22,86,64,4.85,broken clouds
216,College,US,64.8569,-147.8028,66.07,48,0,4.61,clear sky
217,Karpathos,GR,35.507,27.2132,75.16,78,0,25.32,clear sky
218,Bar Harbor,US,44.3876,-68.2039,80.94,92,29,6.55,scattered clouds
219,Deputatskiy,RU,69.3,139.9,54.05,59,36,6.44,scattered clouds
220,Kanlagay,PH,5.8757,121.2915,81.77,78,75,4.63,broken clouds
221,Saint-Philippe,RE,-21.3585,55.7679,69.03,84,60,12.12,light rain
222,Gisborne,NZ,-38.6533,178.0042,51.98,78,100,8.68,light rain
223,Pemberton,CA,50.3164,-122.8027,87.49,29,3,1.7,clear sky
224,Richards Bay,ZA,-28.783,32.0377,68.25,78,45,12.41,scattered clouds
225,Tura,IN,25.5198,90.2201,73.17,99,100,4.41,light rain
226,Lorengau,PG,-2.0226,147.2712,83.53,76,16,8.95,few clouds
227,Mackay,AU,-21.15,149.2,68.68,83,19,9.53,few clouds
228,Inirida,CO,3.8653,-67.9239,73.81,98,98,0.34,overcast clouds
229,Caraguatatuba,BR,-23.6338,-45.4899,65.93,72,68,3.38,broken clouds
230,San Rafael Del Sur,NI,11.8485,-86.4384,86.97,78,94,10.49,overcast clouds
231,Southbridge,US,42.0751,-72.0334,91.22,56,1,3.0,clear sky
232,Svetlaya,RU,46.5389,138.3297,64.44,84,91,3.53,overcast clouds
233,Ilulissat,GL,69.2167,-51.1,38.89,98,100,2.55,overcast clouds
234,Aklavik,CA,68.2191,-135.0107,51.8,93,100,9.22,light rain
235,Atuona,PF,-9.8,-139.0333,77.59,76,44,18.12,scattered clouds
