City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
114,Concepcion Del Oro,MX,77.83,broken clouds,24.6333,-101.4167,Hotel Hacienda San Javier
118,Aswan,EG,87.35,few clouds,24.0934,32.907,Nuba Nile
120,Bandarbeyla,SO,76.03,scattered clouds,9.4942,50.8122,JABIR HOTEL
122,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
126,Faanui,PF,79.45,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
131,Kahului,US,83.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
132,Hilo,US,85.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
138,Nago,JP,84.29,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
141,Ambon,ID,76.23,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
142,Hit,IQ,89.58,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
143,Kirakira,SB,84.11,scattered clouds,-10.4544,161.9205,SanBiz Lodge
146,Korla,CN,83.64,clear sky,41.7597,86.1469,Gulisitan Hotel
155,Hamilton,US,89.1,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
156,Marzuq,YE,78.03,scattered clouds,14.4,46.4667,
157,Xique-Xique,BR,76.66,scattered clouds,-10.8218,-42.7263,Hotel J. Macedo
159,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
163,Shenjiamen,CN,77.77,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
165,Meulaboh,ID,75.2,overcast clouds,4.1363,96.1285,Kost Pria
166,Talavera De La Reina,ES,78.66,clear sky,39.9635,-4.8308,Be Live City Center Talavera
170,Namatanai,PG,83.7,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
171,Katsuura,JP,80.2,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
174,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
175,Evanston,US,85.19,clear sky,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
176,Nantucket,US,87.91,few clouds,41.2835,-70.0995,Jared Coffin House
178,Hami,CN,84.29,scattered clouds,42.8,93.45,Laoyutang Resort
181,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
182,Ito,JP,79.43,overcast clouds,34.9667,139.0833,Ito Kowakien
186,Lumut,MY,78.26,overcast clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
187,Mandal,IN,77.76,overcast clouds,25.45,74.5667,Surpanch saab ki vatika
188,Victoria,HK,87.85,scattered clouds,22.2855,114.1577,Mini Central
191,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
196,Georgetown,MY,77.95,scattered clouds,5.4112,100.3354,Cititel Penang
202,Brikama,GM,77.04,broken clouds,13.2714,-16.6494,Nilakoto
203,Sao Felix Do Xingu,BR,77.88,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
206,Saint Anthony,US,77.11,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
209,Castellarano,IT,84.6,overcast clouds,44.5131,10.7329,Hotel Terme Salvarola
211,Sao Filipe,CV,77.67,light rain,14.8961,-24.4956,Hotel Xaguate
213,Phan Thiet,VN,75.49,broken clouds,10.9333,108.1,Hotel Saigon-PT
